qid,gt,pred_label,pred_sent
11,0,1,no
13,0,1,no
14,0,0,yes
22,0,0,yes
24,0,1,no
32,0,0,yes
34,0,0,yes
36,1,1,no
38,1,1,no
40,1,1,no
42,1,1,no
46,0,0,yes
47,0,0,yes
49,0,0,yes
86,0,0,yes
87,0,0,yes
121,0,0,yes
123,0,0,yes
158,1,1,no
160,1,1,no
162,0,0,yes
164,0,0,yes
178,0,0,yes
180,0,0,yes
186,1,0,yes
188,1,0,yes
198,0,0,yes
200,0,0,yes
222,0,1,no
224,0,1,no
239,0,0,yes
241,0,0,yes
269,1,1,no
271,1,1,no
275,0,0,yes
277,0,0,yes
298,1,0,yes
300,1,0,yes
302,12,1,no
304,12,1,no
306,13,0,yes
308,13,0,yes
310,0,0,yes
319,14,1,no
321,14,1,no
335,0,0,yes
393,55,0,yes
401,32,1,no
402,32,1,no
413,30,0,yes
414,30,0,yes
415,34,0,yes
417,34,0,yes
423,1,0,yes
425,1,0,yes
427,37,1,no
429,0,1,no
431,38,1,no
433,38,1,no
458,43,0,yes
460,43,0,yes
462,43,0,yes
470,44,0,yes
472,44,0,yes
475,0,1,no
485,0,0,yes
487,0,0,yes
493,1,0,yes
495,1,0,yes
503,93,0,yes
513,1,1,no
522,1,0,yes
524,1,0,yes
531,0,1,no
532,1,1,no
557,1,1,no
571,32,40,right
573,1,1,no
595,82,0,yes
596,82,0,yes
598,0,0,yes
600,1,0,yes
606,1,1,no
608,69,1,no
610,1,0,yes
612,1,0,yes
629,0,1,no
631,75,1,no
633,0,1,no
648,80,1,no
663,0,1,no
709,90,0,yes
711,0,0,yes
713,1,0,yes
718,92,1,no
720,1,1,no
722,86,0,yes
724,40,1,no
726,94,1,no
728,1,1,no
733,82,1,no
734,82,1,no
750,1,1,no
751,0,1,no
759,1,1,no
763,1,1,no
773,307,1,no
787,1,1,no
790,1,1,no
797,1,1,no
809,10,1,no
811,1,1,no
814,1,1,no
821,1,1,no
830,114,247,left rectus abdominus
832,114,247,left rectus abdominus
840,1,1,no
842,1,1,no
874,1,1,no
900,0,1,no
906,0,1,no
908,0,1,no
910,0,0,yes
912,0,0,yes
918,123,1,no
920,123,1,no
925,1,1,no
926,1,1,no
946,1,0,yes
948,1,0,yes
950,1,1,no
951,1,1,no
979,0,0,yes
981,0,0,yes
983,0,0,yes
985,0,0,yes
989,0,0,yes
991,0,0,yes
1007,0,1,no
1009,0,1,no
1011,1,1,no
1013,1,1,no
1046,0,0,yes
1048,0,0,yes
1050,130,0,yes
1052,130,0,yes
1080,0,0,yes
1082,0,0,yes
1108,20,0,yes
1110,20,0,yes
1116,0,0,yes
1118,0,0,yes
1132,135,0,yes
1175,140,0,yes
1177,140,0,yes
1205,104,40,right
1209,1,0,yes
1210,1,1,no
1238,235,0,yes
1259,0,0,yes
1265,152,0,yes
1266,1,1,no
1268,1,0,yes
1273,1,0,yes
1280,40,1,no
1282,40,1,no
1284,166,0,yes
1286,166,0,yes
1307,0,0,yes
1309,0,0,yes
1311,82,0,yes
1312,82,0,yes
1330,10,0,yes
1348,63,0,yes
1350,63,0,yes
1375,0,0,yes
1377,0,0,yes
1379,0,0,yes
1384,175,40,right
1386,175,1,no
1393,0,1,no
1395,0,1,no
1409,0,1,no
1456,1,1,no
1461,337,1,no
1466,10,1,no
1467,10,1,no
1476,185,1,no
1478,185,1,no
1480,186,1,no
1482,186,1,no
1492,116,1,no
1493,116,1,no
1500,1,1,no
1502,1,1,no
1506,0,1,no
1507,8,1,no
1512,189,0,yes
1514,189,0,yes
1529,192,40,right
1531,192,431,basal ganglia caudate and putamen
1540,1,0,yes
1542,1,1,no
1548,1,0,yes
1549,48,431,basal ganglia caudate and putamen
1551,48,40,right
1578,196,27,right parietal lobe
1580,196,0,yes
1616,1,1,no
1618,1,1,no
1622,199,1,no
1624,199,1,no
1626,8,10,axial
1627,18,247,left rectus abdominus
1628,18,188,t2 weighted
1630,20,1,no
1632,20,1,no
1651,93,1,no
1652,200,1,no
1654,201,1,no
1678,1,1,no
1680,1,1,no
1686,0,1,no
1688,0,1,no
1701,203,1,no
1703,0,1,no
1721,116,1,no
1722,116,1,no
1736,1,1,no
1738,0,1,no
1753,1,1,no
1755,1,1,no
1758,109,1,no
1768,0,1,no
1781,1,1,no
1783,1,1,no
1810,218,1,no
1812,218,1,no
1850,1,1,no
1851,1,1,no
1853,219,1,no
1867,0,1,no
1872,40,1,no
1874,40,1,no
1884,204,1,no
1886,204,1,no
1888,1,1,no
1890,1,1,no
1892,1,0,yes
1894,1,0,yes
1910,1,1,no
1912,1,1,no
1930,1,1,no
1932,1,1,no
1943,0,0,yes
1945,0,0,yes
1951,1,1,no
1968,0,1,no
1982,10,0,yes
2001,231,1,no
2003,231,1,no
2005,1,1,no
2007,1,1,no
2035,1,0,yes
2037,1,0,yes
2043,1,1,no
2045,1,1,no
2082,0,0,yes
2084,0,0,yes
2094,245,0,yes
2096,245,0,yes
2121,10,0,yes
2135,0,0,yes
2137,0,0,yes
2143,39,0,yes
2144,0,0,yes
2158,0,0,yes
2160,0,0,yes
2166,253,40,right
2168,253,1,no
2185,8,0,yes
2187,254,0,yes
2203,1,1,no
2205,1,1,no
2223,8,1,no
2224,8,1,no
2226,260,0,yes
2228,260,0,yes
2254,1,1,no
2256,1,1,no
2257,1,1,no
2259,1,1,no
2261,1,1,no
2263,1,1,no
2268,10,0,yes
2269,10,0,yes
2311,0,0,yes
2313,0,0,yes
2318,1,1,no
2320,1,1,no
2328,28,1,no
2333,1,1,no
2335,1,1,no
2349,0,0,yes
2352,144,1,no
2369,1,0,yes
2371,0,0,yes
2372,0,0,yes
2377,1,1,no
2381,1,1,no
2383,1,1,no
2406,1,1,no
2408,1,1,no
2420,0,0,yes
2425,283,0,yes
2428,0,0,yes
2430,0,0,yes
2448,1,0,yes
2452,1,1,no
2458,40,0,yes
2465,0,1,no
